activity_id,activity_name,last_update
20308,Stand,2024-04-05T11:17:40Z
20426,Sit,2024-04-05T11:17:40Z
20568,Sleep,2024-04-05T11:17:40Z
20807,Walk,2024-04-05T11:17:40Z
20890,Run,2024-04-05T11:17:40Z
20005,Cycling,2024-04-05T11:17:40Z
20658,Elliptical,2024-04-05T11:17:40Z
20178,Rower,2024-04-05T11:17:40Z
20367,Stair Stepper,2024-04-05T11:17:40Z
20220,HIIT,2024-04-05T11:17:40Z
20153,Hiking,2024-04-05T11:17:40Z
20954,Yoga,2024-04-05T11:17:40Z
20261,Functional Strength Training,2024-04-05T11:17:40Z
20122,Dance,2024-04-05T11:17:40Z
20332,Cooldown,2024-04-05T11:17:40Z
20248,Core Training,2024-04-05T11:17:40Z
20773,Pilates,2024-04-05T11:17:40Z
20263,Tai Chi,2024-04-05T11:17:40Z
20225,Swimming,2024-04-05T11:17:40Z
20373,Wheelchair,2024-04-05T11:17:40Z
20474,Multisport,2024-04-05T11:17:40Z
20133,Kickboxing,2024-04-05T11:17:40Z
20497,Other,2024-04-05T11:17:40Z
